games,Mean reward
0.0,2562.52
100.04606172270843,3675.56
200.09212344541686,4537.28
300.1381851681253,5446.48
400.1842468908337,6445.72
500.23030861354215,6572.6
600.2763703362506,7395.76
700.3224320589591,7177.8
800.3684937816674,7212.8
900.4145555043758,7850.92
1000.4606172270843,8568.36
1100.5066789497928,8052.84
1200.5527406725012,8236.72
1300.5988023952095,8240.56
1400.6448641179181,8442.48
1500.6909258406265,8303.68
1600.7369875633349,8976.84
1700.7830492860433,9611.48
1800.8291110087516,8933.68
1900.8751727314602,8728.8
2000.9212344541686,9616.16
2100.967296176877,10301.28
2201.0133578995856,10134.16
2301.0594196222937,9885.4
2401.1054813450023,10404.8
2501.151543067711,10720.56
2601.197604790419,10497.4
2701.2436665131277,10851.32
2801.2897282358363,9722.72
2901.3357899585444,10709.88
3001.381851681253,10612.32
3101.427913403961,10438.28
3201.4739751266698,10722.96
3301.5200368493784,10936.08
3401.5660985720865,11095.24
3501.612160294795,10750.16
3601.6582220175032,10926.36
3701.704283740212,10716.68
3801.7503454629204,11446.72
3901.7964071856286,11423.2
4001.842468908337,12367.52
4101.888530631046,11646.08
4201.934592353754,11924.92
4301.980654076462,11944.72
4402.026715799171,11315.2
4502.072777521879,11654.88
4602.118839244587,12780.56
4702.1649009672965,12130.04
4802.210962690005,12084.44
4902.257024412713,12578.56
5002.303086135422,12658.84
5102.34914785813,12450.44
5202.395209580838,11903.76
5302.441271303547,13052.56
5402.487333026255,13144.2
5502.5333947489635,12310.12
5602.5794564716725,12424.72
5702.625518194381,14163.52
5802.671579917089,13437.88
5902.717641639797,12390.88
6002.763703362506,13177.72
6102.809765085214,13878.0
6202.855826807922,13561.0
6302.901888530631,13326.32
6402.9479502533395,13981.0
6502.994011976048,14524.92
6603.040073698757,14540.92
6703.086135421465,14519.96
6803.132197144173,13880.28
6903.178258866882,14950.04
7003.22432058959,14075.08
7103.270382312298,15187.88
7203.3164440350065,14101.64
7303.362505757716,15508.52
7403.408567480424,15524.4
7503.454629203132,15607.52
7603.500690925841,15577.84
7703.546752648549,15173.04
7803.592814371257,15223.84
7903.638876093966,16263.8
8003.684937816674,16327.88
8103.7309995393825,15297.44
8203.777061262092,15623.08
8303.823122984799,14974.88
8403.869184707508,15306.44
8503.915246430217,15805.64
8603.961308152924,15878.92
8704.007369875633,16316.76
8804.053431598342,16034.04
8904.09949332105,16237.72
9004.145555043759,17396.68
9104.191616766468,16921.36
9204.237678489175,17421.32
9304.283740211884,16012.44
9404.329801934593,16570.92
9504.3758636573,17664.12
9604.42192538001,17310.28
9704.467987102718,16688.72
9804.514048825426,17281.68
9904.560110548135,17630.24
10004.606172270844,17263.6
10104.65223399355,17133.32
10204.69829571626,17337.12
10304.744357438969,17602.64
10404.790419161676,18578.32
10504.836480884385,16906.2
10604.882542607094,18309.2
10704.928604329802,17515.44
10804.97466605251,17832.68
10905.02072777522,18813.48
11005.066789497927,17974.24
11105.112851220636,19417.28
11205.158912943345,19968.28
11305.204974666052,18450.4
11405.251036388761,18116.8
11505.297098111469,18008.68
11605.343159834178,17977.12
11705.389221556887,18639.76
11805.435283279594,19097.48
11905.481345002303,19078.2
12005.527406725012,19759.8
12105.57346844772,20490.88
12205.619530170428,18994.2
12305.665591893137,18700.96
12405.711653615845,20385.72
12505.757715338554,21074.56
12605.803777061263,19527.72
12705.84983878397,20775.48
12805.895900506679,20227.0
12905.941962229388,19398.88
13005.988023952095,19436.96
13106.034085674804,20327.0
13206.080147397513,20594.8
13306.12620912022,20474.68
13406.17227084293,19797.32
13506.218332565639,20004.92
13606.264394288346,21213.24
13706.310456011055,20754.52
13806.356517733764,20464.52
13906.402579456471,20809.2
14006.44864117918,21197.76
14106.49470290189,19611.96
14206.540764624597,20679.96
14306.586826347306,22034.52
14406.632888070013,21466.6
14506.678949792722,22737.2
14606.725011515431,20327.52
14706.771073238138,21429.32
14806.817134960847,20844.84
14906.863196683556,21985.76
15006.909258406264,21157.08
15106.955320128973,21870.64
15207.001381851682,21313.8
15307.047443574389,21611.88
15407.093505297098,21784.24
15507.139567019807,23123.84
15607.185628742514,21334.8
15707.231690465223,21794.68
15807.277752187932,20466.88
15907.32381391064,22570.4
16007.369875633349,22299.32
16107.415937356058,22467.88
16207.461999078765,23915.12
16307.508060801474,22137.48
16407.554122524183,24103.16
16507.60018424689,21396.76
16607.646245969598,24577.6
16707.69230769231,22988.24
16807.738369415016,23231.8
16907.784431137723,22939.96
17007.830492860434,23076.52
17107.87655458314,22649.84
17207.92261630585,23424.2
17307.96867802856,23076.84
17408.014739751266,23420.8
17508.060801473974,23848.28
17608.106863196685,22814.52
17708.15292491939,24039.84
17808.1989866421,24088.48
17908.24504836481,24264.76
18008.291110087517,23509.24
18108.337171810224,23572.2
18208.383233532935,22506.12
18308.429295255643,24731.04
18408.47535697835,22372.68
18508.52141870106,23785.88
18608.567480423768,26391.88
18708.613542146475,25184.36
18808.659603869186,26568.64
18908.705665591893,25225.0
19008.7517273146,24151.4
19108.79778903731,26591.2
19208.84385076002,23929.28
19308.889912482726,23075.76
19408.935974205437,24178.36
19508.982035928144,25054.04
19609.02809765085,25176.64
19709.074159373562,25524.48
19809.12022109627,24916.04
19909.166282818976,25506.56
20009.212344541687,24870.8
20109.258406264395,26488.68
20209.3044679871,24884.32
20309.350529709813,23857.8
20409.39659143252,23262.04
20509.442653155227,24801.88
20609.488714877938,27781.4
20709.534776600645,26885.24
20809.580838323353,24709.72
20909.626900046063,26164.92
