games,Max Tile
0.0,1024
100.05,1024
200.1,1024
300.15,1024
400.2,1024
500.25,1024
600.3,1024
700.35,1024
800.4,1024
900.4499999999999,1024
1000.5,1024
1100.55,2048
1200.6,2048
1300.6499999999999,2048
1400.7,2048
1500.75,2048
1600.8,1024
1700.85,2048
1800.8999999999999,2048
1900.95,2048
2001.0,2048
2101.0499999999997,2048
2201.1,2048
2301.15,2048
2401.2,2048
2501.25,2048
2601.2999999999997,2048
2701.35,2048
2801.4,2048
2901.45,2048
3001.5,2048
3101.5499999999997,2048
3201.6,2048
3301.65,2048
3401.7,2048
3501.75,2048
3601.7999999999997,2048
3701.85,2048
3801.9,2048
3901.95,2048
4002.0,2048
4102.05,2048
4202.099999999999,2048
4302.15,2048
4402.2,2048
4502.25,2048
4602.3,2048
4702.349999999999,2048
4802.4,2048
4902.45,4096
5002.5,4096
5102.55,2048
5202.599999999999,2048
5302.65,2048
5402.7,2048
5502.75,2048
5602.8,2048
5702.849999999999,2048
5802.9,2048
5902.95,2048
6003.0,4096
6103.05,2048
6203.099999999999,2048
6303.15,2048
6403.2,2048
6503.25,4096
6603.3,4096
6703.349999999999,2048
6803.4,4096
6903.45,2048
7003.5,2048
7103.55,2048
7203.599999999999,2048
7303.65,4096
7403.7,2048
7503.75,2048
7603.8,2048
7703.849999999999,2048
7803.9,4096
7903.95,2048
8004.0,2048
8104.05,4096
8204.1,2048
8304.15,2048
8404.199999999999,2048
8504.25,2048
8604.3,4096
8704.35,2048
8804.4,2048
8904.449999999999,4096
9004.5,4096
9104.55,2048
9204.6,2048
9304.65,4096
9404.699999999999,2048
9504.75,4096
9604.8,4096
9704.85,2048
9804.9,4096
9904.949999999999,2048
10005.0,4096
10105.05,2048
10205.1,4096
10305.15,4096
10405.199999999999,2048
10505.25,4096
10605.3,2048
10705.35,2048
10805.4,4096
10905.449999999999,2048
11005.5,4096
11105.55,2048
11205.6,4096
11305.65,4096
11405.699999999999,2048
11505.75,2048
11605.8,2048
11705.85,4096
11805.9,4096
11905.949999999999,4096
12006.0,2048
12106.05,4096
12206.1,4096
12306.15,4096
12406.199999999999,2048
12506.25,4096
12606.3,2048
12706.35,4096
12806.4,4096
12906.449999999999,4096
13006.5,4096
13106.55,4096
13206.6,2048
13306.65,2048
13406.699999999999,2048
13506.75,4096
13606.8,4096
13706.85,2048
13806.9,4096
13906.949999999999,4096
14007.0,4096
14107.05,4096
14207.1,4096
14307.15,4096
14407.199999999999,2048
14507.25,4096
14607.3,4096
14707.35,4096
14807.4,4096
14907.449999999999,4096
15007.5,4096
15107.55,2048
15207.6,4096
15307.65,4096
15407.699999999999,4096
15507.75,4096
15607.8,2048
15707.85,2048
15807.9,2048
15907.949999999999,2048
16008.0,4096
16108.05,4096
16208.1,4096
16308.15,4096
16408.2,2048
16508.25,4096
16608.3,4096
16708.35,2048
16808.399999999998,4096
16908.45,4096
17008.5,2048
17108.55,2048
17208.6,4096
17308.649999999998,4096
17408.7,4096
17508.75,4096
17608.8,2048
17708.85,4096
17808.899999999998,2048
17908.95,2048
18009.0,4096
18109.05,4096
18209.1,4096
18309.149999999998,4096
18409.2,4096
18509.25,2048
18609.3,4096
18709.35,2048
18809.399999999998,4096
18909.45,4096
19009.5,4096
19109.55,4096
19209.6,4096
19309.649999999998,4096
19409.7,4096
19509.75,4096
19609.8,4096
19709.85,4096
19809.899999999998,4096
19909.95,2048
20010.0,4096
20110.05,4096
20210.1,4096
20310.149999999998,4096
20410.2,4096
20510.25,4096
20610.3,2048
20710.35,4096
20810.399999999998,4096
20910.45,4096
21010.5,4096
21110.55,4096
21210.6,4096
21310.649999999998,4096
21410.7,4096
21510.75,4096
21610.8,4096
21710.85,4096
21810.899999999998,4096
21910.95,4096
22011.0,4096
22111.05,4096
22211.1,4096
22311.149999999998,4096
22411.2,4096
22511.25,4096
22611.3,4096
22711.35,4096
22811.399999999998,4096
22911.45,4096
23011.5,4096
23111.55,4096
23211.6,2048
23311.649999999998,4096
23411.7,4096
23511.75,4096
23611.8,4096
23711.85,4096
23811.899999999998,4096
23911.95,4096
24012.0,4096
24112.05,4096
24212.1,4096
24312.149999999998,4096
24412.2,4096
24512.25,4096
24612.3,4096
24712.35,4096
24812.399999999998,4096
24912.45,4096
25012.5,4096
25112.55,2048
25212.6,4096
25312.649999999998,4096
25412.7,4096
25512.75,4096
25612.8,4096
25712.85,4096
25812.899999999998,4096
25912.95,4096
26013.0,4096
26113.05,4096
26213.1,4096
26313.149999999998,4096
26413.2,4096
26513.25,4096
26613.3,4096
26713.35,2048
26813.399999999998,4096
26913.45,4096
27013.5,4096
27113.55,4096
27213.6,4096
27313.649999999998,4096
27413.7,4096
27513.75,4096
27613.8,4096
27713.85,4096
27813.899999999998,4096
27913.95,4096
28014.0,4096
28114.05,4096
28214.1,4096
28314.149999999998,4096
28414.2,4096
28514.25,4096
28614.3,4096
28714.35,4096
