games,Mean reward
0.0,2317.64
100.04761904761905,3569.44
200.0952380952381,5005.16
300.14285714285717,5326.32
400.1904761904762,5735.16
500.23809523809524,6144.4
600.2857142857143,6542.48
700.3333333333334,6954.56
800.3809523809524,7537.72
900.4285714285714,8033.56
1000.4761904761905,8202.32
1100.5238095238096,7945.96
1200.5714285714287,8124.64
1300.6190476190477,8103.08
1400.6666666666667,9075.24
1500.7142857142858,8394.44
1600.7619047619048,9182.12
1700.8095238095239,9795.6
1800.857142857143,9705.88
1900.904761904762,9804.32
2000.952380952381,9469.32
2101.0,9296.68
2201.0476190476193,9759.28
2301.095238095238,9842.76
2401.1428571428573,10242.36
2501.190476190476,10228.04
2601.2380952380954,11040.4
2701.285714285714,10296.64
2801.3333333333335,10545.88
2901.3809523809523,10486.36
3001.4285714285716,10639.96
3101.4761904761904,10615.84
3201.5238095238096,11219.8
3301.571428571429,10913.88
3401.6190476190477,11068.28
3501.666666666667,11976.96
3601.714285714286,10855.12
3701.761904761905,11776.88
3801.809523809524,11977.52
3901.857142857143,11759.96
4001.904761904762,11523.48
4101.952380952381,10734.84
4202.0,11371.88
4302.047619047619,11519.4
4402.0952380952385,12123.28
4502.142857142857,11752.04
4602.190476190476,11767.88
4702.238095238095,13039.4
4802.285714285715,12146.4
4902.333333333334,12109.6
5002.380952380952,12517.8
5102.428571428572,12050.56
5202.476190476191,12877.04
5302.52380952381,12456.16
5402.571428571428,13080.88
5502.619047619048,12378.08
5602.666666666667,12253.96
5702.714285714286,13280.6
5802.761904761905,13090.32
5902.809523809524,13454.68
6002.857142857143,13156.68
6102.904761904762,13530.12
6202.952380952381,12643.56
6303.0,14078.08
6403.047619047619,14176.84
6503.0952380952385,13218.12
6603.142857142858,13648.08
6703.190476190476,13989.84
6803.238095238095,13714.6
6903.285714285715,14887.96
7003.333333333334,13823.04
7103.380952380952,14942.28
7203.428571428572,14023.24
7303.476190476191,14399.32
7403.52380952381,14763.4
7503.571428571428,14884.08
7603.619047619048,15616.8
7703.666666666667,15449.64
7803.714285714286,14719.76
7903.761904761905,15316.0
8003.809523809524,15840.12
8103.857142857143,15636.24
8203.904761904761,16529.76
8303.952380952382,15431.0
8404.0,14747.04
8504.04761904762,14916.12
8604.095238095239,15746.08
8704.142857142857,15965.2
8804.190476190477,16734.52
8904.238095238095,16808.04
9004.285714285714,16567.28
9104.333333333334,16844.32
9204.380952380952,16089.88
9304.428571428572,16620.68
9404.47619047619,17581.72
9504.52380952381,16729.96
9604.57142857143,16628.96
9704.619047619048,16364.88
9804.666666666668,17798.08
9904.714285714286,16764.92
10004.761904761905,16069.0
10104.809523809525,17468.76
10204.857142857143,17955.04
10304.904761904761,17457.24
10404.952380952382,18209.28
10505.0,18742.92
10605.04761904762,17871.56
10705.095238095239,18164.8
10805.142857142857,18638.56
10905.190476190477,18104.88
11005.238095238095,18111.52
11105.285714285714,18564.92
11205.333333333334,18495.96
11305.380952380952,18435.48
11405.428571428572,18698.32
11505.47619047619,19347.48
11605.52380952381,20394.08
11705.57142857143,17144.76
11805.619047619048,18470.76
11905.666666666668,18370.28
12005.714285714286,19504.72
12105.761904761905,20443.56
12205.809523809525,19083.48
12305.857142857143,20188.6
12405.904761904761,18918.64
12505.952380952382,19743.92
12606.0,19250.4
12706.04761904762,19441.12
12806.095238095239,20361.36
12906.142857142857,20218.08
13006.190476190477,20452.4
13106.238095238095,19439.84
13206.285714285716,19209.36
13306.333333333334,21082.52
13406.380952380952,18982.48
13506.428571428572,21163.36
13606.47619047619,20180.04
13706.52380952381,20559.16
13806.57142857143,21395.24
13906.619047619048,19047.88
14006.666666666668,18964.44
14106.714285714286,20454.04
14206.761904761905,21180.12
14306.809523809525,22464.08
14406.857142857143,22442.84
14506.904761904763,21623.56
14606.952380952382,21748.2
14707.0,21684.76
14807.04761904762,21011.48
14907.095238095239,22315.48
15007.142857142857,21274.32
15107.190476190477,23253.04
15207.238095238095,20864.28
15307.285714285716,22753.44
15407.333333333334,22311.44
15507.380952380952,21611.0
15607.428571428572,21547.96
15707.47619047619,22497.0
15807.52380952381,21852.2
15907.57142857143,21367.92
16007.619047619048,22185.8
16107.666666666668,23566.08
16207.714285714286,21207.6
16307.761904761905,23101.44
16407.809523809523,21628.24
16507.857142857145,24525.72
16607.904761904763,23714.16
16707.95238095238,22928.16
16808.0,23103.44
16908.04761904762,22892.64
17008.09523809524,22491.04
17108.14285714286,22329.28
17208.190476190477,21866.6
17308.238095238095,22235.36
17408.285714285714,22692.04
17508.333333333332,22284.36
17608.380952380954,22761.92
17708.428571428572,22970.48
17808.47619047619,23807.72
17908.52380952381,22354.48
18008.571428571428,24763.52
18108.61904761905,23572.36
18208.666666666668,23587.32
18308.714285714286,25077.44
18408.761904761905,23054.0
18508.809523809523,23388.88
18608.857142857145,22763.72
18708.904761904763,23599.44
18808.95238095238,24399.88
18909.0,25647.88
19009.04761904762,24249.56
19109.09523809524,24358.88
19209.14285714286,24940.88
19309.190476190477,24007.16
19409.238095238095,23821.2
19509.285714285714,24667.48
19609.333333333336,26555.84
19709.380952380954,24016.96
19809.428571428572,26323.12
19909.47619047619,25370.2
20009.52380952381,25008.56
20109.571428571428,27787.04
20209.61904761905,24985.28
20309.666666666668,25496.68
20409.714285714286,26348.04
20509.761904761905,25300.48
20609.809523809523,27180.24
20709.857142857145,26459.4
20809.904761904763,25395.44
20909.95238095238,26856.52
21010.0,25983.6
21110.04761904762,24614.2
21210.09523809524,27847.4
21310.14285714286,25804.04
21410.190476190477,24287.92
21510.238095238095,27594.6
21610.285714285714,25133.44
21710.333333333336,27575.88
21810.380952380954,25607.28
21910.428571428572,26769.64
22010.47619047619,26534.28
