games,Max Tile
0.0,512
100.04761904761905,512
200.0952380952381,1024
300.14285714285717,1024
400.1904761904762,1024
500.23809523809524,1024
600.2857142857143,1024
700.3333333333334,1024
800.3809523809524,1024
900.4285714285714,1024
1000.4761904761905,1024
1100.5238095238096,1024
1200.5714285714287,1024
1300.6190476190477,1024
1400.6666666666667,2048
1500.7142857142858,1024
1600.7619047619048,2048
1700.8095238095239,2048
1800.857142857143,2048
1900.904761904762,1024
2000.952380952381,1024
2101.0,2048
2201.0476190476193,1024
2301.095238095238,1024
2401.1428571428573,1024
2501.190476190476,2048
2601.2380952380954,2048
2701.285714285714,1024
2801.3333333333335,2048
2901.3809523809523,2048
3001.4285714285716,2048
3101.4761904761904,1024
3201.5238095238096,1024
3301.571428571429,2048
3401.6190476190477,2048
3501.666666666667,2048
3601.714285714286,2048
3701.761904761905,2048
3801.809523809524,2048
3901.857142857143,2048
4001.904761904762,2048
4101.952380952381,1024
4202.0,1024
4302.047619047619,2048
4402.0952380952385,2048
4502.142857142857,2048
4602.190476190476,2048
4702.238095238095,2048
4802.285714285715,2048
4902.333333333334,2048
5002.380952380952,2048
5102.428571428572,2048
5202.476190476191,2048
5302.52380952381,2048
5402.571428571428,2048
5502.619047619048,2048
5602.666666666667,2048
5702.714285714286,2048
5802.761904761905,2048
5902.809523809524,2048
6002.857142857143,2048
6102.904761904762,2048
6202.952380952381,2048
6303.0,2048
6403.047619047619,2048
6503.0952380952385,2048
6603.142857142858,2048
6703.190476190476,2048
6803.238095238095,2048
6903.285714285715,2048
7003.333333333334,2048
7103.380952380952,2048
7203.428571428572,2048
7303.476190476191,2048
7403.52380952381,2048
7503.571428571428,2048
7603.619047619048,2048
7703.666666666667,2048
7803.714285714286,2048
7903.761904761905,2048
8003.809523809524,2048
8103.857142857143,2048
8203.904761904761,2048
8303.952380952382,2048
8404.0,2048
8504.04761904762,2048
8604.095238095239,2048
8704.142857142857,2048
8804.190476190477,2048
8904.238095238095,2048
9004.285714285714,2048
9104.333333333334,2048
9204.380952380952,2048
9304.428571428572,2048
9404.47619047619,2048
9504.52380952381,2048
9604.57142857143,2048
9704.619047619048,2048
9804.666666666668,2048
9904.714285714286,2048
10004.761904761905,2048
10104.809523809525,2048
10204.857142857143,2048
10304.904761904761,2048
10404.952380952382,2048
10505.0,2048
10605.04761904762,2048
10705.095238095239,2048
10805.142857142857,2048
10905.190476190477,2048
11005.238095238095,2048
11105.285714285714,2048
11205.333333333334,2048
11305.380952380952,2048
11405.428571428572,2048
11505.47619047619,2048
11605.52380952381,2048
11705.57142857143,2048
11805.619047619048,2048
11905.666666666668,2048
12005.714285714286,2048
12105.761904761905,2048
12205.809523809525,2048
12305.857142857143,2048
12405.904761904761,2048
12505.952380952382,2048
12606.0,2048
12706.04761904762,2048
12806.095238095239,2048
12906.142857142857,2048
13006.190476190477,2048
13106.238095238095,2048
13206.285714285716,2048
13306.333333333334,2048
13406.380952380952,2048
13506.428571428572,2048
13606.47619047619,2048
13706.52380952381,2048
13806.57142857143,2048
13906.619047619048,2048
14006.666666666668,4096
14106.714285714286,4096
14206.761904761905,2048
14306.809523809525,4096
14406.857142857143,4096
14506.904761904763,2048
14606.952380952382,2048
14707.0,2048
14807.04761904762,2048
14907.095238095239,2048
15007.142857142857,2048
15107.190476190477,4096
15207.238095238095,4096
15307.285714285716,4096
15407.333333333334,4096
15507.380952380952,2048
15607.428571428572,4096
15707.47619047619,4096
15807.52380952381,2048
15907.57142857143,2048
16007.619047619048,2048
16107.666666666668,2048
16207.714285714286,2048
16307.761904761905,4096
16407.809523809523,4096
16507.857142857145,2048
16607.904761904763,4096
16707.95238095238,4096
16808.0,2048
16908.04761904762,2048
17008.09523809524,4096
17108.14285714286,2048
17208.190476190477,2048
17308.238095238095,4096
17408.285714285714,2048
17508.333333333332,4096
17608.380952380954,2048
17708.428571428572,4096
17808.47619047619,2048
17908.52380952381,4096
18008.571428571428,4096
18108.61904761905,2048
18208.666666666668,4096
18308.714285714286,2048
18408.761904761905,4096
18508.809523809523,4096
18608.857142857145,4096
18708.904761904763,4096
18808.95238095238,2048
18909.0,4096
19009.04761904762,4096
19109.09523809524,4096
19209.14285714286,4096
19309.190476190477,4096
19409.238095238095,4096
19509.285714285714,4096
19609.333333333336,4096
19709.380952380954,4096
19809.428571428572,4096
19909.47619047619,4096
20009.52380952381,4096
20109.571428571428,4096
20209.61904761905,4096
20309.666666666668,4096
20409.714285714286,4096
20509.761904761905,4096
20609.809523809523,4096
20709.857142857145,4096
20809.904761904763,4096
20909.95238095238,4096
21010.0,4096
21110.04761904762,4096
21210.09523809524,4096
21310.14285714286,4096
21410.190476190477,2048
21510.238095238095,4096
21610.285714285714,4096
21710.333333333336,4096
21810.380952380954,2048
21910.428571428572,4096
22010.47619047619,4096
22110.52380952381,4096
22210.571428571428,4096
22310.61904761905,4096
22410.666666666668,4096
22510.714285714286,4096
22610.761904761905,4096
22710.809523809523,4096
22810.857142857145,4096
22910.904761904763,4096
23010.95238095238,4096
23111.0,4096
23211.04761904762,4096
23311.09523809524,4096
23411.14285714286,4096
23511.190476190477,4096
23611.238095238095,4096
23711.285714285714,4096
23811.333333333336,4096
23911.380952380954,4096
24011.428571428572,4096
24111.47619047619,4096
24211.52380952381,4096
24311.57142857143,4096
24411.61904761905,4096
24511.666666666668,4096
24611.714285714286,4096
24711.761904761905,4096
24811.809523809523,4096
24911.857142857145,4096
25011.904761904763,4096
25111.95238095238,4096
25212.0,4096
25312.04761904762,4096
25412.09523809524,4096
25512.14285714286,4096
25612.190476190477,4096
25712.238095238095,4096
25812.285714285714,4096
25912.333333333336,4096
26012.380952380954,4096
26112.428571428572,2048
26212.47619047619,4096
26312.52380952381,4096
26412.57142857143,4096
26512.61904761905,4096
26612.666666666668,4096
26712.714285714286,4096
26812.761904761905,4096
26912.809523809523,4096
27012.857142857145,4096
27112.904761904763,4096
27212.95238095238,4096
27313.0,4096
27413.04761904762,4096
27513.09523809524,2048
27613.14285714286,4096
27713.190476190477,4096
27813.238095238095,4096
27913.285714285714,4096
28013.333333333336,4096
28113.380952380954,2048
28213.428571428572,4096
28313.47619047619,4096
28413.52380952381,4096
28513.57142857143,4096
28613.61904761905,2048
28713.666666666668,4096
28813.714285714286,4096
28913.761904761905,4096
29013.809523809527,4096
29113.857142857145,4096
29213.904761904763,4096
29313.95238095238,4096
29414.0,4096
29514.04761904762,4096
29614.09523809524,4096
29714.14285714286,4096
29814.190476190477,4096
29914.238095238095,4096
30014.285714285714,4096
30114.333333333336,4096
30214.380952380954,2048
30314.428571428572,4096
30414.47619047619,4096
30514.52380952381,4096
30614.57142857143,4096
30714.61904761905,4096
30814.666666666668,4096
30914.714285714286,4096
31014.761904761905,4096
31114.809523809527,4096
31214.857142857145,4096
31314.904761904763,4096
31414.95238095238,4096
31515.0,4096
31615.04761904762,4096
31715.09523809524,4096
31815.14285714286,4096
31915.190476190477,4096
32015.238095238095,4096
32115.285714285714,4096
32215.333333333336,4096
32315.380952380954,4096
32415.428571428572,4096
32515.47619047619,4096
32615.52380952381,4096
32715.57142857143,4096
32815.619047619046,4096
32915.666666666664,4096
33015.71428571429,4096
33115.76190476191,4096
33215.80952380953,4096
33315.857142857145,4096
33415.90476190476,4096
33515.95238095238,4096
33616.0,4096
33716.04761904762,2048
33816.09523809524,4096
33916.142857142855,2048
34016.19047619048,4096
34116.2380952381,4096
34216.28571428572,4096
34316.333333333336,4096
34416.380952380954,4096
34516.42857142857,4096
34616.47619047619,4096
34716.52380952381,4096
34816.57142857143,4096
34916.619047619046,4096
35016.666666666664,4096
35116.71428571429,4096
35216.76190476191,4096
35316.80952380953,4096
35416.857142857145,4096
35516.90476190476,4096
