games,Mean Max Tile
0.0,195.92
100.04761904761905,294.4
200.0952380952381,400.64
300.14285714285717,393.6
400.1904761904762,435.2
500.23809523809524,445.44
600.2857142857143,476.16
700.3333333333334,495.36
800.3809523809524,545.28
900.4285714285714,571.52
1000.4761904761905,596.48
1100.5238095238096,552.96
1200.5714285714287,570.88
1300.6190476190477,561.92
1400.6666666666667,641.28
1500.7142857142858,590.08
1600.7619047619048,652.8
1700.8095238095239,678.4
1800.857142857143,657.92
1900.904761904762,668.16
2000.952380952381,656.64
2101.0,665.6
2201.0476190476193,683.52
2301.095238095238,693.76
2401.1428571428573,693.76
2501.190476190476,718.08
2601.2380952380954,780.8
2701.285714285714,711.68
2801.3333333333335,732.16
2901.3809523809523,748.8
3001.4285714285716,737.28
3101.4761904761904,728.32
3201.5238095238096,773.12
3301.571428571429,739.84
3401.6190476190477,796.16
3501.666666666667,798.72
3601.714285714286,746.24
3701.761904761905,832.0
3801.809523809524,820.48
3901.857142857143,816.64
4001.904761904762,814.08
4101.952380952381,741.12
4202.0,760.32
4302.047619047619,808.96
4402.0952380952385,852.48
4502.142857142857,775.68
4602.190476190476,832.0
4702.238095238095,865.28
4802.285714285715,844.8
4902.333333333334,847.36
5002.380952380952,872.96
5102.428571428572,847.36
5202.476190476191,876.8
5302.52380952381,826.88
5402.571428571428,929.28
5502.619047619048,844.8
5602.666666666667,847.36
5702.714285714286,885.76
5802.761904761905,862.72
5902.809523809524,920.32
6002.857142857143,883.2
6102.904761904762,935.68
6202.952380952381,865.28
6303.0,928.0
6403.047619047619,916.48
6503.0952380952385,888.32
6603.142857142858,920.32
6703.190476190476,965.12
6803.238095238095,931.84
6903.285714285715,1018.88
7003.333333333334,967.68
7103.380952380952,980.48
7203.428571428572,942.08
7303.476190476191,985.6
7403.52380952381,995.84
7503.571428571428,1035.52
7603.619047619048,1040.64
7703.666666666667,1031.68
7803.714285714286,974.08
7903.761904761905,1042.56
8003.809523809524,1052.16
8103.857142857143,1064.96
8203.904761904761,1128.96
8303.952380952382,1041.92
8404.0,1008.64
8504.04761904762,998.4
8604.095238095239,1031.68
8704.142857142857,1059.84
8804.190476190477,1126.4
8904.238095238095,1095.68
9004.285714285714,1130.24
9104.333333333334,1103.36
9204.380952380952,1077.76
9304.428571428572,1113.6
9404.47619047619,1182.72
9504.52380952381,1090.56
9604.57142857143,1100.8
9704.619047619048,1091.84
9804.666666666668,1198.08
9904.714285714286,1141.76
10004.761904761905,1059.84
10104.809523809525,1149.44
10204.857142857143,1244.16
10304.904761904761,1162.24
10404.952380952382,1185.28
10505.0,1267.2
10605.04761904762,1175.04
10705.095238095239,1221.12
10805.142857142857,1269.76
10905.190476190477,1259.52
11005.238095238095,1157.12
11105.285714285714,1226.24
11205.333333333334,1239.04
11305.380952380952,1195.52
11405.428571428572,1272.32
11505.47619047619,1308.16
11605.52380952381,1397.76
11705.57142857143,1134.08
11805.619047619048,1249.28
11905.666666666668,1214.72
12005.714285714286,1368.32
12105.761904761905,1392.64
12205.809523809525,1290.24
12305.857142857143,1349.12
12405.904761904761,1277.44
12505.952380952382,1318.4
12606.0,1295.36
12706.04761904762,1300.48
12806.095238095239,1328.64
12906.142857142857,1363.2
13006.190476190477,1372.16
13106.238095238095,1282.56
13206.285714285716,1246.72
13306.333333333334,1356.8
13406.380952380952,1264.64
13506.428571428572,1405.44
13606.47619047619,1361.92
13706.52380952381,1374.72
13806.57142857143,1472.0
13906.619047619048,1271.04
14006.666666666668,1282.56
14106.714285714286,1367.04
14206.761904761905,1411.84
14306.809523809525,1496.32
14406.857142857143,1510.4
14506.904761904763,1413.12
14606.952380952382,1497.6
14707.0,1448.96
14807.04761904762,1397.76
14907.095238095239,1474.56
15007.142857142857,1425.92
15107.190476190477,1512.96
15207.238095238095,1429.76
15307.285714285716,1507.84
15407.333333333334,1495.04
15507.380952380952,1423.36
15607.428571428572,1469.44
15707.47619047619,1495.04
15807.52380952381,1440.0
15907.57142857143,1448.96
16007.619047619048,1456.64
16107.666666666668,1515.52
16207.714285714286,1433.6
16307.761904761905,1551.36
16407.809523809523,1425.92
16507.857142857145,1625.6
16607.904761904763,1638.4
16707.95238095238,1536.0
16808.0,1538.56
16908.04761904762,1543.68
17008.09523809524,1470.72
17108.14285714286,1512.96
17208.190476190477,1469.44
17308.238095238095,1474.56
17408.285714285714,1472.0
17508.333333333332,1477.12
17608.380952380954,1469.44
17708.428571428572,1520.64
17808.47619047619,1566.72
17908.52380952381,1528.32
18008.571428571428,1623.04
18108.61904761905,1525.76
18208.666666666668,1525.76
18308.714285714286,1625.6
18408.761904761905,1478.4
18508.809523809523,1576.96
18608.857142857145,1515.52
18708.904761904763,1560.32
18808.95238095238,1574.4
18909.0,1730.56
19009.04761904762,1630.72
19109.09523809524,1584.64
19209.14285714286,1685.76
19309.190476190477,1556.48
19409.238095238095,1571.84
19509.285714285714,1607.68
19609.333333333336,1771.52
19709.380952380954,1568.0
19809.428571428572,1740.8
19909.47619047619,1640.96
20009.52380952381,1646.08
20109.571428571428,1812.48
20209.61904761905,1623.04
20309.666666666668,1651.2
20409.714285714286,1756.16
20509.761904761905,1669.12
20609.809523809523,1756.16
20709.857142857145,1711.36
20809.904761904763,1651.2
20909.95238095238,1710.08
21010.0,1699.84
21110.04761904762,1606.4
21210.09523809524,1838.08
21310.14285714286,1646.08
21410.190476190477,1587.2
21510.238095238095,1799.68
21610.285714285714,1620.48
